Station Name,Street Address,City,State,ZIP,Status Code,Latitude,Longitude,ID,Open Date,EV Connector Types,Country,Access Code
City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,E,47.044011,-122.822404,33351,2018-01-15,J1772,US,public
Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,E,47.443377,-122.296229,33717,2010-03-01,NEMA520,US,public
Haggen Food & Pharmacy,1313 Cooper Point Rd SW,Olympia,WA,98502,E,47.035421,-122.938962,35337,2009-08-15,NEMA520,US,public
Avista Corp,1411 E Mission Ave,Spokane,WA,99252,E,47.673347,-117.388933,35620,2010-04-15,J1772 NEMA520,US,public
Steam Plant Grill,159 S Lincoln St,Spokane,WA,99201,E,47.654998,-117.425025,35621,2010-04-15,J1772,US,public
BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,E,47.614744,-122.193162,37181,,J1772,US,public
Group Health Olympia Medical Center,700 Lilly Rd,Olympia,WA,98506,E,47.056888,-122.841752,37664,2008-01-15,NEMA520,US,public
The Evergreen State College,2700 Evergreen Pkwy NW,Olympia,WA,98505,E,47.071917,-122.976675,37673,2009-12-15,J1772 NEMA520,US,public
Washington Department of Labor & Industries - Department of Health - Department of Transportation,243 Israel Rd SE,Tumwater,WA,98501,E,46.984193,-122.904856,37677,2008-01-15,J1772,US,public
KING COUNTY DOT ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,E,47.545324,-122.0195,38082,,J1772,US,public
King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,E,47.675897,-122.091237,38083,2011-07-15,J1772,US,private
UWB CASCADIA CC NORTH DUAL 1,18500 Campus Way NE,Bothell,WA,98011,E,47.761878,-122.191915,38952,,J1772,US,public
CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,E,47.679224,-122.12995,38959,,J1772,US,public
CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,E,47.672359,-122.099034,38966,,J1772,US,public
WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,E,47.734211,-122.147041,38976,,J1772,US,public
Rairdon's Nissan - Auburn,713 35th St NE,Auburn,WA,98002,E,47.338754,-122.221114,39776,2011-03-15,J1772,US,private
Bellingham Nissan,1516 Iowa St,Bellingham,WA,98229,E,48.755607,-122.454132,39778,2011-03-15,CHADEMO J1772,US,public
Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,E,47.562162,-122.684286,39779,2011-03-15,J1772,US,public
Burien Nissan,16042 1st Ave S,Burien,WA,98148,E,47.458466,-122.333257,39780,2011-03-15,CHADEMO J1772,US,public
Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,E,47.778229,-122.344838,39782,2011-03-15,J1772,US,public
Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,E,47.90272982,-122.2469884,39783,2011-03-15,J1772,US,public
Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,E,47.031067,-122.930247,39786,2011-03-15,J1772,US,public
Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,E,46.236607,-119.128998,39787,2011-03-15,J1772,US,public
Dan Wilder Nissan,53 Jetta Way,Port Angeles,WA,98362,E,48.102863,-123.342273,39788,2011-03-15,CHADEMO J1772,US,public
Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,E,47.207367,-122.294997,39789,2011-03-15,CHADEMO J1772,US,public
Younker Nissan,3401 E Valley Rd,Renton,WA,98058,E,47.448354,-122.2188,39791,2011-03-15,CHADEMO J1772,US,public
Wendle Nissan,9000 N Division St,Spokane,WA,99218,E,47.739021,-117.409937,39795,2011-03-15,J1772,US,public
Dave Smith Nissan - Spokane,6901 E Sprague Ave,Spokane Valley,WA,99212,E,47.657264,-117.312518,39796,2011-03-15,CHADEMO J1772,US,public
Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,E,47.21978,-122.48576,39797,2011-03-15,J1772,US,public
Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,E,45.648094,-122.597954,39798,2011-03-15,J1772,US,public
O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,E,46.047464,-118.353406,39799,2011-03-15,J1772,US,public
KEY CENTER KEY CENTER 6,601 108th Ave NE,Bellevue,WA,98004,E,47.616104,-122.19696,40383,,J1772,US,public
KRC SKYLINE SKYLINE #1,10900 NE 4th St,Bellevue,WA,98004,E,47.61434,-122.194037,40384,,J1772,US,public
Snohomish County - Campus Garage,3000 Rockefeller Ave,Everett,WA,98201,E,47.97725,-122.206369,40772,2011-08-01,J1772,US,public
Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,E,47.604115,-122.332907,41579,2011-10-01,J1772,US,public
CITY OF SEATAC CITY HALL 1,4800 S 188th St,SeaTac,WA,98188,E,47.434021,-122.273183,41776,,J1772,US,public
Puget Sound Energy,3130 S 38th St,Tacoma,WA,98409,E,47.22213,-122.478493,41779,2011-10-15,J1772,US,private
TPU TPU HQ #6,3628 S 35th St,Tacoma,WA,98409,E,47.228593,-122.484226,41780,,J1772,US,public
City of Tacoma - Municipal Building,747 Market St,Tacoma,WA,98402,E,47.255854,-122.44172,42044,2011-11-30,J1772,US,private
BELLEVUE SBCC #2,14509 SE Newport Way,Bellevue,WA,98006,E,47.568871,-122.145285,42228,,J1772,US,public
EASTGATE OFFICE EASTGATE DUAL 1,15395 SE 30th Pl,Bellevue,WA,98007,E,47.581979,-122.136238,42229,,J1772,US,public
KIRKLAND CITY HALL 1,123 5th Ave,Kirkland,WA,98033,E,47.678476,-122.206806,42237,,J1772,US,public
KIRKLAND LIBRARY SOUTH 1,308 Kirkland Ave,Kirkland,WA,98033,E,47.675896,-122.203012,42238,,J1772,US,public
SAMMAMISH GARAGE 1,801 228th Ave SE,Sammamish,WA,98075,E,47.601657,-122.036938,42240,,J1772,US,public
IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,Kent,WA,98032,E,47.424222,-122.256619,43299,,J1772,US,public
VALLEY MED CTR MAIN LOT #5,400 S 43rd St,Renton,WA,98055,E,47.443255,-122.212445,43303,,J1772,US,public
VALLEY MED CTR N GARAGE #1,4033 Talbot Rd S,Renton,WA,98055,E,47.444606,-122.214491,43305,,J1772,US,public
City of Renton - City Shops,3555 NE 2nd St,Renton,WA,98056,E,47.483635,-122.170748,43795,2017-01-12,J1772,US,private
City of Renton - City Hall,1055 S Grady Way,Renton,WA,98057,E,47.474537,-122.204976,43796,2017-01-12,J1772,US,public
PW PARKING A ST GARAGE 01,110 S 10th St,Tacoma,WA,98402,E,47.253809,-122.437429,43804,,J1772,US,public
PW PARKING GLASS MUSEUM 01,1801 Dock St,Tacoma,WA,98402,E,47.245934,-122.43398,43806,,J1772,US,public
Pierce County - Annex Lot,2401 S 35th St,Tacoma,WA,98409,E,47.228866,-122.469105,43808,2011-12-01,J1772,US,public
Pierce County - City Building,930 Tacoma Ave S,Tacoma,WA,98402,E,47.253668,-122.446141,43809,2011-12-01,J1772,US,public
Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,E,47.778229,-122.344838,44136,2011-03-15,J1772,US,private
Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,E,47.90272982,-122.2469884,44137,2011-03-15,J1772,US,private
Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,E,47.031067,-122.930247,44147,2011-03-15,J1772,US,private
Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,E,46.236607,-119.128998,44148,2011-03-15,J1772,US,private
Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,E,47.207367,-122.294997,44150,2011-03-15,J1772,US,private
Younker Nissan,3401 E Valley Rd,Renton,WA,98058,E,47.448354,-122.2188,44151,2011-03-15,J1772,US,private
City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,E,47.606684,-122.332664,44153,2011-12-01,J1772,US,public
City of Seattle - Charles Street,805 S Charles St,Seattle,WA,98134,E,47.594042,-122.317179,44154,2011-12-31,J1772,US,private
City of Seattle - Haller Lake,12600 Stone Ave N,Seattle,WA,98133,E,47.721254,-122.340924,44155,2011-12-31,J1772,US,private
City of Seattle - Muni Tower,700 5th Ave,Seattle,WA,98124,E,47.604906,-122.330278,44156,2011-12-31,J1772,US,private
City of Seattle - Parking Enforcement Division,2203 Airport Way S,Seattle,WA,98134,E,47.582934,-122.323106,44158,2011-12-31,J1772,US,private
City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,E,47.622085,-122.347124,44159,2011-12-01,J1772,US,public
City of Seattle - Seattle City Light North Service Center,1300 N 97th St,Seattle,WA,98103,E,47.699613,-122.341922,44160,2011-12-31,J1772,US,private
City of Seattle - Seattle City Light South Service Center,225 S Spokane St,Seattle,WA,98134,E,47.571399,-122.330911,44161,2011-12-31,J1772,US,private
City of Seattle - Seattle Water Ops,2700 Airport Way S,Seattle,WA,98134,E,47.57952,-122.321401,44162,2011-12-31,J1772,US,private
City of Seattle - West Bridge,4209 W Marginal Way SW,Seattle,WA,98106,E,47.565149,-122.353024,44163,2011-12-31,J1772,US,private
Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,E,47.21978,-122.48576,44166,2011-03-15,J1772,US,private
Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,E,47.562162,-122.684286,44270,2011-03-15,J1772,US,private
Burien Nissan,16042 1st Ave S,Burien,WA,98148,E,47.458466,-122.333257,44272,2011-03-15,J1772,US,private
Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,E,45.648094,-122.597954,44506,2011-03-15,J1772,US,private
Valley Nissan,1010 S 1st St,Yakima,WA,98901,E,46.590246,-120.500687,44509,2011-11-30,J1772,US,public
Valley Nissan,1010 S 1st St,Yakima,WA,98901,E,46.590246,-120.500687,44510,2011-11-30,J1772,US,private
Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,Monroe,WA,98272,E,47.868914,-121.987449,45209,2012-01-20,J1772,US,public
Snohomish County - Willis Tucker Community Park,6705 Puget Park Dr,Snohomish,WA,98296,E,47.864699,-122.138672,45211,2012-01-20,J1772,US,public
Seattle City Light,500 Newhalem St,Rockport,WA,98283,E,48.673466,-121.261467,45654,2012-01-01,J1772,US,private
OAK HARBOR OH DUAL #1,1270 SE Dock St,Oak Harbor,WA,98277,E,48.288066,-122.648224,46390,,J1772,US,public
PeaceHealth,1115 SE 164th Ave,Vancouver,WA,98684,E,45.63017,-122.504,47885,2012-05-31,J1772,US,private
Puget Sound Energy,6500 Ursula Pl S,Seattle,WA,98108,E,47.54527283,-122.3087234,48605,2012-06-30,J1772,US,private
KING COUNTY DOT KSC STATION #1,201 S Jackson St,Seattle,WA,98104,E,47.598663,-122.331009,49230,,J1772,US,public
City of Bellevue - Bellevue Service Center,2901 115th Ave NE,Bellevue,WA,98004,E,47.63811493,-122.1882,49759,2012-10-15,J1772,US,private
SKAGIT COUNTY ADMIN STATION 2,1800 Continental Pl,Mount Vernon,WA,98273,E,48.437569,-122.325494,50210,,J1772,US,public
SWEDISH EDMONDS STATION 01,21601 76th Ave. West,Edmonds,WA,98026,E,47.804365,-122.334163,51314,,J1772,US,public
MET PARK WEST MET PARK EAST 1,1730 Minor Ave,Seattle,WA,98101,E,47.616838,-122.329508,51708,,J1772,US,public
MET PARK WEST MET PARK #1,1100 Olive Way,Seattle,WA,98101,E,47.616464,-122.330505,51709,,J1772,US,public
Evergreen Ford,1500 18th Ave NW,Issaquah,WA,98027,E,47.547047,-122.063633,51904,2012-10-01,J1772,US,private
Nikola Broadband,224 W Washington St,Sequim,WA,98382,E,48.079908,-123.105772,51905,2013-05-15,J1772,US,public
Small Car Performance,1403 34th Ave E,Fife,WA,98424,E,47.244104,-122.383139,51906,2013-05-01,NEMA520,US,private
King County - Roads Maintenance Facility,781 Monroe Ave NE,Renton,WA,98056,E,47.4847291,-122.1774112,52142,2013-06-01,J1772,US,private
