Supercharger,Street Address,City,State,Zipcode,Country,GPS,Statues,Open Date
"Soldotna, AK",43540 Whistle Hill Loop,Soldotna,AK,99669,USA,"60.494628, -151.045047",PERMIT,
"Auburn, AL",1627 Opelika Rd,Auburn,AL,36830,USA,"32.627837, -85.445105",OPEN,12/23/14
"Birmingham, AL",2221 Richard Arrington Jr Blvd N,Birmingham,AL,35203,USA,"33.525917, -86.806875",OPEN,11/16/16
"Athens, AL",1325 US-72,Athens,AL,35611,USA,"34.785443, -86.942964",OPEN,5/31/17
"Steele, AL",905 Steele Station Rd,Steele,AL,35987,USA,"33.933824, -86.191611",OPEN,8/9/17
"Mobile, AL",3201 Airport Blvd,Mobile,AL,36606,USA,"30.671556, -88.118644",OPEN,4/16/15
"Greenville, AL",219 Interstate Dr,Greenville,AL,36037,USA,"31.855989, -86.635765",OPEN,12/6/14
"Montgomery, AL",2576 Berryhill Rd,Montgomery,AL,36117,USA,"32.361087, -86.161796",PERMIT,
"Oxford, AL",550 Oxford Exchange Blvd,Oxford,AL,36203,USA,"33.610651, -85.782355",OPEN,10/15/17
"Little Rock, AR",11231 Bass Pro Pkwy off of I-430,Little Rock,AR,72209,USA,"34.6614, -92.41031",OPEN,5/20/17
"Lowell, AR",898 W Monroe Ave,Lowell,AR,72745,USA,"36.255329, -94.152637",OPEN,2/21/20
"Ozark, AR",3202 Pence Ln,Ozark,AR,72949,USA,"35.5238, -93.8636",OPEN,9/4/20
"Van Buren, AR",500 Pointer Trail,Van Buren,AR,72956,USA,"35.458391, -94.356308",OPEN,3/19/21
"Brinkley, AR",Pine Crest Shopping Center,Brinkley,AR,72021,USA,"34.904944, -91.200056",OPEN,3/18/21
"Buckeye, AZ",416 S Watson Rd,Buckeye,AZ,85326,USA,"33.443011, -112.556876",OPEN,3/20/14
"Yuma, AZ",310 N Madison Ave,Yuma,AZ,85364,USA,"32.726686, -114.619093",OPEN,2/4/14
"Gila Bend, AZ",826 W Pima St,Gila Bend,AZ,85337,USA,"32.943969, -112.733506",OPEN,5/17/14
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,AZ,86025,USA,"34.922962, -110.145558",OPEN,1/15/14
"Casa Grande, AZ",2453 E Florence Blvd,Casa Grande,AZ,85194,USA,"32.87888, -111.6817421",OPEN,9/30/14
"Cordes Lakes, AZ",14925 Cordes Lakes Rd,Mayer,AZ,86333,USA,"34.327131, -112.118432",OPEN,10/14/14
"Phoenix - Agua Fria Fwy, AZ",2805 W Agua Fria Fwy,Phoenix,AZ,85027,USA,"33.667011, -112.120891",OPEN,3/21/18
"Page, AZ",600 Clubhouse Dr,Page,AZ,86040,USA,"36.924902, -111.468041",OPEN,9/10/16
"Willcox, AZ",1251 Virginia Ave,Willcox,AZ,85643,USA,"32.269811, -109.8457",OPEN,12/15/17
"Tucson, AZ",9255 S Rita Rd,Tucson,AZ,85747,USA,"32.083857, -110.803571",OPEN,10/15/17
"White Hills, AZ",12683 White Hills Rd,Willow Beach,AZ,86445,USA,"35.7, -114.476782",OPEN,5/13/20
"Scottsdale - N Scottsdale Rd, AZ",15000 N 73rd St,Scottsdale,AZ,85260,USA,"33.623139, -111.922451",OPEN,11/21/17
"Scottsdale - N Kierland Blvd, AZ",15205 N Kierland Blvd,Scottsdale,AZ,85254,USA,"33.623205, -111.930338",OPEN,2/16/19
"Flagstaff, AZ",2650 S Beulah Blvd,Flagstaff,AZ,86001,USA,"35.174272, -111.66328",OPEN,1/10/14
"Phoenix - East Camelback Rd, AZ",2502 E Camelback Rd,Phoenix,AZ,85016,USA,"33.511555, -112.026392",OPEN,3/27/18
"Sedona, AZ",7000 AZ-179,Sedona,AZ,86351,USA,"34.775559, -111.764099",OPEN,4/23/18
"Tucson - East Skyline Drive, AZ",2905 E Skyline Dr,Tucson,AZ,85718,USA,"32.32555, -110.930936",OPEN,4/29/18
"Wickenburg, AZ",155 N Tegner St,Wickenburg,AZ,85390,USA,"33.9702333, -112.73165",OPEN,7/11/14
"Payson, AZ",201 North Beeline Hwy,Payson,AZ,85541,USA,"34.242065, -111.322538",OPEN,12/29/18
"Tusayan, AZ",149 AZ-64,Grand Canyon Village,AZ,86023,USA,"35.969448, -112.127675",OPEN,10/23/19
"Ehrenberg, AZ",14320 Frontage Rd N,Ehrenberg,AZ,85334,USA,"33.601666, -114.522376",OPEN,11/27/19
"New River, AZ",3906 W New River Rd,New River,AZ,85087,USA,"33.91578, -112.14417",OPEN,12/25/19
"Tacna, AZ",9250 South Ave 40E,Tacna,AZ,95352,USA,"32.690622, -113.953578",OPEN,3/24/20
"Quartzsite, AZ",1451 W Main St,Quartzsite,AZ,85346,USA,"33.661314, -114.242174",OPEN,11/14/13
"Kingman, AZ",789 W Beale St,Kingman,AZ,86401,USA,"35.191331, -114.065592",OPEN,1/22/14
"Chandler, AZ",3111 W Chandler Blvd,Chandler,AZ,85226,USA,"36.104924, -112.143356",CLOSED_PERM,
"Hawthorne, CA",1 Rocket Rd,Hawthorne,CA,90250,USA,"33.921068, -118.330054",OPEN,11/19/12
"Buellton, CA",555 McMurray Rd,Buellton,CA,93427,USA,"34.61456, -120.188387",OPEN,7/13/13
"Corning, CA",950 Hwy 99,Corning,CA,96021,USA,"39.926454, -122.198393",OPEN,10/18/13
"Atascadero, CA",6950 El Camino Real,Atascadero,CA,93422,USA,"35.48656, -120.66633",OPEN,7/3/13
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,92311,USA,"34.849129, -117.085446",OPEN,11/19/12
"Indio, CA",42100 Jackson St,Indio,CA,92203,USA,"33.741484, -116.215019",OPEN,9/26/14
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,95678,USA,"38.771208, -121.266149",OPEN,4/29/14
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,"34.238654, -119.177398",OPEN,9/24/14
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,92243,USA,"32.760837, -115.532486",OPEN,12/28/14
"Folsom - Iron Point Road, CA",13000 Folsom Blvd,Folsom,CA,95630,USA,"38.64258, -121.18806",OPEN,11/19/12
"Richmond, CA",2157 Meeker Ave,Richmond,CA,94804,USA,"37.919969, -122.348976",OPEN,9/16/19
"Truckee - Donner Pass, CA",11290 Donner Pass Rd,Truckee,CA,96161,USA,"39.327507, -120.207373",OPEN,8/26/14
"Rocklin (SC), CA",4361 Granite Dr,Rocklin,CA,95677,USA,"38.800537, -121.210485",OPEN,2/20/15
"Inyokern, CA",1353 Brown Rd,Inyokern,CA,93527,USA,"35.646461, -117.812629",OPEN,3/20/15
"San Mateo - Bridgepointe Pkwy, CA",2220 Bridgepointe Pkwy,San Mateo,CA,94404,USA,"37.558546, -122.284614",OPEN,11/1/17
"Mojave, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CA,93501,USA,"35.068595, -118.174576",OPEN,3/27/15
"Redondo Beach, CA",2410 Marine Ave,Redondo Beach,CA,90278,USA,"33.894294, -118.367379",OPEN,1/20/15
"Cupertino, CA",19500 Vallco Parkway,Cupertino,CA,95014,USA,"37.324372, -122.009179",OPEN,3/29/18
"Fremont - Factory #2, CA",45500 Fremont Blvd,Fremont,CA,94538,USA,"37.492162, -121.946186",PERMIT,
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CA,94043,USA,"37.415344, -122.076607",OPEN,6/10/15
"San Mateo, CA",1200 Park Pl,San Mateo,CA,94403,USA,"37.544632, -122.290188",OPEN,7/10/15
"Newark, CA",3100 Newpark Mall,Newark,CA,94560,USA,"37.525905, -122.006624",OPEN,9/19/19
"Santa Ana, CA",2800 N Main St,Santa Ana,CA,92705,USA,"33.776011, -117.872176",OPEN,12/6/16
"Ukiah, CA",310 S State St,Ukiah,CA,95482,USA,"39.1481, -123.208604",OPEN,1/13/16
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CA,92708,USA,"33.70278, -117.934127",OPEN,8/28/15
"Burbank (SC), CA",811 S San Fernando Blvd,Burbank,CA,91502,USA,"34.174712, -118.300826",OPEN,12/15/15
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,93206,USA,"35.400105, -119.397796",OPEN,1/29/16
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,93546,USA,"37.644544, -118.965875",OPEN,1/21/16
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,93704,USA,"36.835455, -119.91058",OPEN,1/29/16
"Temecula, CA",40820 Winchester Rd,Temecula,CA,92591,USA,"33.52421, -117.152568",OPEN,5/10/16
"Buena Park (SC), CA",6692 Auto Center Dr,Buena Park,CA,90621,USA,"33.863379, -117.99103",OPEN,10/20/16
"Santa Barbara, CA",3943 State St,Santa Barbara,CA,93105,USA,"34.440227, -119.753359",PERMIT,
"Folsom - Palladio Parkway, CA",220 Palladio Pkwy,Folsom,CA,95630,USA,"38.647199, -121.118344",OPEN,8/13/16
"Goleta, CA",7004 Market Pl Dr,Goleta,CA,93117,USA,"34.427015, -119.871768",OPEN,5/6/20
"Gustine, CA",12411 California Highway 33,Gustine,CA,95322,USA,"37.109305, -121.017565",OPEN,11/16/16
"Bakersfield, CA",29541 Stockdale Hwy,Bakersfield,CA,93314,USA,"35.354643, -119.331607",OPEN,9/29/16
"Twentynine Palms, CA",73829 Baseline Rd,Twentynine Palms,CA,92277,USA,"34.12046, -116.050953",OPEN,12/9/16
"Groveland, CA",11875 Ponderosa Ln,Groveland,CA,95321,USA,"37.838679, -120.23199",OPEN,12/16/16
"Fish Camp, CA",1122 California 41,Fish Camp,CA,93623,USA,"37.473828, -119.635893",OPEN,12/15/16
"San Jose - East Capitol Expressway, CA",3096 Tuers Rd,San Jose,CA,95121,USA,"37.300551, -121.825198",OPEN,8/29/20
"Paso Robles, CA",2449 Golden Hill Rd,Paso Robles,CA,93446,USA,"35.645482, -120.660047",OPEN,9/4/20
"Vacaville, CA",321 Nut Tree RD,Vacaville,CA,95687,USA,"38.366645, -121.958136",OPEN,12/19/13
"Sacramento, CA",3668 North Freeway Blvd,Sacramento,CA,95834,USA,"38.637729, -121.49718",OPEN,10/13/17
"Salinas, CA",1606 North Main St,Salinas,CA,93906,USA,"36.715699, -121.653992",OPEN,10/13/17
"Monterey, CA",1100 Del Monte Center,Monterey,CA,93940,USA,"36.585729, -121.898765",OPEN,8/10/17
"Baker, CA",71808 Baker Blvd,Baker,CA,97035,USA,"35.262758, -116.080193",OPEN,11/21/17
"Westminster, CA",1025 Westminster Mall,Westminster,CA,92683,USA,"33.745288, -118.012279",OPEN,12/22/18
"Concord, CA",2001 Diamond Blvd,Concord,CA,94520,USA,"37.970453, -122.058384",OPEN,3/2/18
"Santa Clarita, CA",23975 Newhall Ranch Rd,Santa Clarita,CA,91355,USA,"34.431041, -118.554319",OPEN,4/6/18
"Sunnyvale - W McKinley Ave, CA",298 W McKinley Ave,Sunnyvale,CA,94086,USA,"37.373421, -122.033114",OPEN,3/14/18
"Fairfield, CA",1350 Travis Blvd,Fairfield,CA,94533,USA,"38.26175, -122.0524",OPEN,5/6/18
"Riverside, CA",3878 Market St,Riverside,CA,92501,USA,"33.981393, -117.37577",OPEN,12/29/17
"Fremont, CA",45500 Fremont Blvd,Fremont,CA,94538,USA,"37.492754, -121.944796",OPEN,8/16/13
"Gilroy, CA",681 Leavesley Rd,Gilroy,CA,95020,USA,"37.02493, -121.56542",OPEN,11/19/12
"Cabazon, CA",48400 Seminole Dr,Cabazon,CA,92230,USA,"33.93129, -116.820041",OPEN,12/17/14
"San Clemente, CA",99 West Avenida Vista Hermosa,San Clemente,CA,92672,USA,"33.437177, -117.62712",OPEN,11/17/17
"Kettleman City, CA",33360 Powers Dr,Kettleman City,CA,93239,USA,"35.987651, -119.962336",OPEN,11/15/17
"Anaheim - Santa Ana Canyon Rd, CA",8148 E Santa Ana Canyon Rd,Anaheim,CA,92808,USA,"33.866724, -117.747373",OPEN,5/15/19
"Yermo, CA",36017 Calico Rd,Yermo,CA,92398,USA,"34.907217, -116.835801",OPEN,11/23/17
"Burbank-North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,"34.18487, -118.311672",OPEN,9/14/17
"Sacramento - Arden Way, CA",1689 Arden Way,Sacramento,CA,95815,USA,"38.603327, -121.42853",OPEN,8/11/18
"Harris Ranch, CA",24505 W Dorris Ave,Coalinga,CA,93210,USA,"36.25415, -120.237896",OPEN,11/19/12
"Turlock, CA",3000 Countryside Dr,Turlock,CA,95380,USA,"37.520397, -120.879689",PERMIT,
"Yuba City, CA",1475 Tharp Rd,Yuba City,CA,95993,USA,"39.147833, -121.647861",OPEN,2/5/19
"San Diego - Camino Del Sur, CA",17170 Camino Del Sur,San Diego,CA,92127,USA,"33.020052, -117.126278",OPEN,1/12/19
"Menifee, CA",30340 Haun Rd,Menifee,CA,92584,USA,"33.679646, -117.174095",OPEN,9/30/19
"Windsor, CA",8852 Lakewood Dr,Windsor,CA,95492,USA,"38.549856, -122.805465",CONSTRUCTION,
"San Ramon - Diablo Plaza, CA",2415 San Ramon Valley Blvd,San Ramon,CA,94583,USA,"37.774766, -121.979789",OPEN,4/5/19
"San Luis Obispo, CA","Madonna Inn, 100 Madonna Rd",San Luis Obispo,CA,93405,USA,"35.265182, -120.676288",OPEN,5/6/18
"Napa, CA",Devlin Rd & Airport Blvd,Napa,CA,94558,USA,"38.2356, -122.264",OPEN,7/11/16
"Lake Elsinore, CA",17600 Collier Ave,Lake Elsinore,CA,92530,USA,"33.698437, -117.349113",OPEN,3/1/18
"San Jose - Blossom Hill Rd, CA",1375 Blossom Hill Rd,San Jose,CA,95118,USA,"37.244638, -121.891141",OPEN,5/17/19
"Rancho Cucamonga, CA",12505 North Main St,Rancho Cucamonga,CA,91739,USA,"34.113592, -117.529406",OPEN,11/20/14
"Manhattan Beach, CA",3200 N Sepulveda Blvd,Manhattan Beach,CA,90266,USA,"33.901472, -118.393833",OPEN,12/6/18
