MonthYear,Number_of_EV
2020-01,2581
2019-10,2232
2019-01,2218
2018-10,2143
2018-11,2064
2021-01,1948
2018-12,1874
2020-07,1813
2020-11,1773
2019-04,1647
2019-07,1632
2018-05,1505
2018-06,1487
2020-10,1477
2019-09,1458
2019-06,1450
2020-12,1384
2019-08,1328
2019-05,1293
2021-02,1292
2018-09,1278
2020-03,1273
2019-12,1237
2018-08,1181
2018-07,1161
2018-01,1128
2018-04,1096
2020-09,1095
2020-08,1048
2018-03,1021
2019-02,1016
2017-10,941
2017-01,920
2017-06,916
2017-05,910
2019-03,909
2019-11,906
2017-09,893
2017-04,884
2017-03,879
2016-10,868
2017-02,832
2020-02,809
2017-07,798
2017-08,789
2016-08,787
2017-12,783
2020-04,774
2016-12,766
2020-06,713
2017-11,710
2018-02,689
2016-09,682
2014-10,670
2016-11,668
2016-07,656
2016-06,641
2015-07,636
2016-04,608
2015-06,604
2016-03,534
2015-12,519
2014-07,515
2013-05,507
2014-06,490
2015-04,484
2015-10,481
2013-06,478
2013-10,477
2016-01,475
2016-05,473
2013-09,463
2015-01,461
2013-08,454
2014-12,453
2014-08,439
2014-09,429
2014-01,421
2015-09,416
2015-08,407
2020-05,402
2013-07,398
2013-04,389
2016-02,383
2013-01,382
2015-11,372
2013-12,370
2014-11,365
2013-11,345
2014-05,345
2015-03,338
2014-04,337
2015-05,328
2012-11,298
2014-03,296
2015-02,292
2012-10,288
2013-03,286
2013-02,249
2014-02,248
2012-12,237
2011-07,225
2011-06,202
2012-09,162
2011-08,156
2012-08,152
2011-10,132
2012-06,123
2012-04,120
2012-03,119
2012-05,118
2011-09,116
2012-07,114
2011-12,109
2011-11,95
2012-01,89
2011-05,80
2011-04,45
2012-02,37
2011-02,15
2011-03,11
2011-01,6
2010-12,5
2010-10,5
2010-04,3
2010-05,2
2010-07,2
2010-03,2
2010-08,2
2010-06,1
2010-09,1
2010-02,1
