,,,,,,,,,,,,,,,,,
U.S. PEV Sales by Model (In Order of Market Introduction),,,,,,,,,,,,,,,,,
Vehicle,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,,,,,,
Chevy Volt,PHEV," 7,671 "," 23,461 "," 23,094 "," 18,805 "," 15,393 "," 24,739 "," 20,349 "," 18,306 "," 4,915 "," 156,733 ",,,,,,
Nissan Leaf,EV," 9,674 "," 9,819 "," 22,610 "," 30,200 "," 17,269 "," 14,006 "," 11,230 "," 14,715 "," 12,365 "," 141,888 ",,,,,,
Smart ED,EV, 342 , 139 , 923 ," 2,594 "," 1,387 ", 657 , 544 ," 1,219 ", 680 ," 8,485 ",,,,,,
Mitsubishi I EV,EV, 76 , 588 ," 1,029 ", 196 , 115 , 94 , 6 , -   , -   ," 2,104 ",,,,,,
BMW Active E,EV, -   , 673 , -   , -   , -   , -   , -   , -   , -   , 673 ,,,,,,
Prius PHEV,PHEV, -   ," 12,749 "," 12,088 "," 13,264 "," 4,191 "," 2,474 "," 20,936 "," 27,595 "," 23,630 "," 116,927 ",,,,,,
Ford Focus EV,EV, -   , 683 ," 1,738 "," 1,964 "," 1,582 ", 901 ," 1,817 ", 560 , -   ," 9,245 ",,,,,,
Honda Fit EV,EV, -   , 93 , 569 , 407 , 2 , -   , -   , -   , -   ," 1,071 ",,,,,,
Tesla Model S,EV, -   ," 2,400 "," 19,400 "," 16,750 "," 26,200 "," 30,200 "," 26,500 "," 25,745 "," 15,090 "," 162,285 ",,,,,,
Toyota RAV4 EV,EV, -   , 192 ," 1,005 "," 1,184 ", 18 , -   , -   , -   , -   ," 2,399 ",,,,,,
Ford C-Max Energi,PHEV, -   ," 2,374 "," 7,154 "," 8,433 "," 7,591 "," 7,957 "," 8,140 ", 582 , -   ," 42,231 ",,,,,,
Honda Accord,PHEV, -   , -   , 526 , 449 , 64 , -   , -   , -   , -   ," 1,039 ",,,,,,
