Year_Month,Fuel_Category,County,Count
2020/07,Electric,ALLEGANY,29
2020/07,Electric,ANNE ARUNDEL,1587
2020/07,Electric,BALTIMORE,1508
2020/07,Electric,BALTIMORE CITY,770
2020/07,Electric,CALVERT,140
2020/07,Electric,CAROLINE,8
2020/07,Electric,CARROLL,292
2020/07,Electric,CECIL,82
2020/07,Electric,CHARLES,197
2020/07,Electric,DORCHESTER,24
2020/07,Electric,FREDERICK,710
2020/07,Electric,GARRETT,15
2020/07,Electric,HARFORD,321
2020/07,Electric,HOWARD,1934
2020/07,Electric,KENT,15
2020/07,Electric,MONTGOMERY,5791
2020/07,Electric,PRINCE GEORGES,1208
2020/07,Electric,QUEEN ANNES,84
2020/07,Electric,SAINT MARYS,144
2020/07,Electric,SOMERSET,2
2020/07,Electric,TALBOT,68
2020/07,Electric,UNKNOWN,28
2020/07,Electric,WASHINGTON,136
2020/07,Electric,WICOMICO,50
2020/07,Electric,WORCESTER,46
2020/07,Electric,CA,2
2020/07,Electric,TX,1
2020/07,Plug-in Hybrid,ALLEGANY,32
2020/07,Plug-in Hybrid,ANNE ARUNDEL,1124
2020/07,Plug-in Hybrid,BALTIMORE,1230
2020/07,Plug-in Hybrid,BALTIMORE CITY,585
2020/07,Plug-in Hybrid,CALVERT,160
2020/07,Plug-in Hybrid,CAROLINE,19
2020/07,Plug-in Hybrid,CARROLL,231
2020/07,Plug-in Hybrid,CECIL,74
2020/07,Plug-in Hybrid,CHARLES,172
2020/07,Plug-in Hybrid,DORCHESTER,26
2020/07,Plug-in Hybrid,FREDERICK,700
2020/07,Plug-in Hybrid,GARRETT,5
2020/07,Plug-in Hybrid,HARFORD,281
2020/07,Plug-in Hybrid,HOWARD,1150
2020/07,Plug-in Hybrid,KENT,31
2020/07,Plug-in Hybrid,MONTGOMERY,3583
2020/07,Plug-in Hybrid,PRINCE GEORGES,938
2020/07,Plug-in Hybrid,QUEEN ANNES,82
2020/07,Plug-in Hybrid,SAINT MARYS,174
2020/07,Plug-in Hybrid,SOMERSET,7
2020/07,Plug-in Hybrid,TALBOT,85
2020/07,Plug-in Hybrid,UNKNOWN,18
2020/07,Plug-in Hybrid,WASHINGTON,163
2020/07,Plug-in Hybrid,WICOMICO,82
2020/07,Plug-in Hybrid,WORCESTER,62
2020/07,Plug-in Hybrid,CO,2
2020/07,Plug-in Hybrid,DE,1
2020/07,Plug-in Hybrid,GA,1
2020/07,Plug-in Hybrid,IL,1
2020/07,Plug-in Hybrid,KY,1
