Program,Program Link,Station Name,MEA Contribution,Address,City,State,ZipCode,Location,Access
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Antwerpen Nissan - Clarksville,,12451 Auto Dr,Clarksville,MD,21029,"12451 Auto Dr
Clarksville, Maryland 21029
(39.211686580000446, -76.94361843699966)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Capitol Fisker,437.00,6500 Capitol Drive,Greenbelt,MD,20770,"6500 Capitol Drive
Greenbelt, Maryland 20770
(38.996667741000465, -76.89354973199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Hamilton Nissan,,1929 Dual Hwy,Hagerstown,MD,21740,"1929 Dual Hwy
Hagerstown, Maryland 21740
(39.606219231000466, -77.68646095399964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1300 E North Ave,Baltimore,MD,21213,"1300 E North Ave
Baltimore, Maryland 21213
(39.311918480000486, -76.60006133399963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Frederick Motor Company,,1 Waverley Dr,Frederick,MD,21702,"1 Waverley Dr
Frederick, Maryland 21702
(39.419768115000466, -77.46114120899966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,King Farm Village - Regency,,800 Pleasant Dr,Rockville,MD,20850,"800 Pleasant Dr
Rockville, Maryland 20850
(39.11373596600049, -77.17123692299964)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Sheehy Auto Store,557.00,2950 Crain Highway,Waldorf,MD,20601,"2950 Crain Highway
Waldorf, Maryland 20601
(38.63048704500045, -76.90618222999967)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Johns Hopkins University,31990.75,3101 Wyman Park Dr,Baltimore,MD,21218,"3101 Wyman Park Dr
Baltimore, Maryland 21218
(39.325962166000465, -76.62261135999967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Upper Marlboro,MD,20772,"Upper Marlboro, Maryland 20772
(38.79320349000045, -76.78653736499967)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Clinton,MD,20735,"Clinton, Maryland 20735
(38.75722249900048, -76.89952923299967)",
