CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1168485,1168502,1168901,1169156,1170241,1171171,1171007,1170550,1169639,1171385,1170564,1167594,399,255,1085,930,-164,-457,-911,1746,-821,-2970,3100,12057,12028,12106,11959,11888,11794,11715,11517,11397,2507,10789,10748,10966,10615,11207,10849,11233,11422,11364,593,1268,1280,1140,1344,681,945,482,95,33,471,1916,2230,1998,2347,2444,2496,1898,1529,1120,-597,-2908,-2270,-2124,-3746,-3516,-4321,-597,-2415,-4106,-126,-992,-40,-126,-1399,-1072,-1825,1301,-886,-2986,-68,-21,-155,-84,-109,-66,-31,-37,-30,-17
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870713,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,369,1696,1920,2367,1048,972,707,2366,105,-1882,2379,9106,9115,9199,9170,9091,9017,8954,8766,8704,1796,7634,7650,7765,7521,7917,7705,8052,8225,8235,583,1472,1465,1434,1649,1174,1312,902,541,469,442,1760,2055,1769,2042,2173,2221,1652,1251,1033,-618,-1515,-1478,-759,-2553,-2321,-2800,-163,-1674,-3375,-176,245,577,1010,-511,-148,-579,1489,-423,-2342,-38,-21,-122,-77,-90,-54,-26,-25,-13,-9
104,10580,,36001,"Albany County, NY",County or equivalent,304204,304208,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,-122,510,1127,866,562,282,164,120,-1132,-1079,785,3093,3123,3195,3169,3174,3167,3152,3019,3024,563,2689,2803,2657,2600,2668,2722,2741,2820,2776,222,404,320,538,569,506,445,411,199,248,239,1040,996,884,1078,1088,1134,879,654,546,-593,-929,-114,-509,-1053,-1294,-1409,-1168,-1988,-1872,-354,111,882,375,25,-206,-275,-289,-1334,-1326,10,-5,-75,-47,-32,-18,-6,-2,3,-1
104,10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159433,159340,159589,159437,159545,159666,159436,159294,159200,159283,158714,-93,249,-152,108,121,-230,-142,-94,83,-569,430,1717,1678,1667,1732,1616,1665,1665,1570,1548,418,1483,1457,1548,1460,1503,1467,1504,1535,1610,12,234,221,119,272,113,198,161,35,-62,57,253,303,241,277,242,265,188,149,126,-154,-235,-668,-239,-406,-574,-601,-436,-96,-632,-97,18,-365,2,-129,-332,-336,-248,53,-506,-8,-3,-8,-13,-22,-11,-4,-7,-5,-1
104,10580,,36091,"Saratoga County, NY",County or equivalent,219607,219598,220109,221111,222483,224087,224513,226078,227122,229276,230170,229863,511,1002,1372,1604,426,1565,1044,2154,894,-307,631,2170,2195,2248,2241,2271,2206,2168,2109,2103,369,1678,1625,1721,1671,1788,1808,1881,2058,2050,262,492,570,527,570,483,398,287,51,53,69,181,412,340,309,402,378,213,99,132,196,338,431,746,-436,701,282,1658,752,-490,265,519,843,1086,-127,1103,660,1871,851,-358,-16,-9,-41,-9,-17,-21,-14,-4,-8,-2
104,10580,,36093,"Schenectady County, NY",County or equivalent,154727,154751,154861,154864,155016,154944,155016,154733,154475,154710,155079,155299,110,3,152,-72,72,-283,-258,235,369,220,451,1827,1854,1839,1757,1792,1742,1719,1832,1792,358,1518,1513,1563,1500,1658,1428,1636,1527,1486,93,309,341,276,257,134,314,83,305,306,75,273,320,297,370,433,434,364,344,223,-35,-576,-488,-636,-540,-844,-1006,-203,-277,-305,40,-303,-168,-339,-170,-411,-572,161,67,-82,-23,-3,-21,-9,-15,-6,0,-9,-3,-4
104,10580,,36095,"Schoharie County, NY",County or equivalent,32749,32723,32686,32618,32039,31900,31767,31405,31304,31255,31146,30999,-37,-68,-579,-139,-133,-362,-101,-49,-109,-147,82,299,265,250,271,238,237,250,236,237,88,266,252,276,290,300,280,290,285,313,-6,33,13,-26,-19,-62,-43,-40,-49,-76,2,13,24,7,8,8,10,8,5,6,-32,-113,-639,-121,-118,-310,-66,-14,-65,-76,-30,-100,-615,-114,-110,-302,-56,-6,-60,-70,-1,-1,23,1,-4,2,-2,-3,0,-1
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,50219,50264,50307,49911,49829,49743,49679,49564,49169,49163,49394,49221,43,-396,-82,-86,-64,-115,-395,-6,231,-173,148,565,554,591,607,608,617,629,605,613,109,595,565,628,579,599,593,570,555,533,39,-30,-11,-37,28,9,24,59,50,80,11,78,93,116,162,127,131,142,193,14,-1,-445,-163,-165,-252,-250,-552,-205,-10,-267,10,-367,-70,-49,-90,-123,-421,-63,183,-253,-6,1,-1,0,-2,-1,2,-2,-2,0
104,11220,,36057,"Montgomery County, NY",County or equivalent,50219,50264,50307,49911,49829,49743,49679,49564,49169,49163,49394,49221,43,-396,-82,-86,-64,-115,-395,-6,231,-173,148,565,554,591,607,608,617,629,605,613,109,595,565,628,579,599,593,570,555,533,39,-30,-11,-37,28,9,24,59,50,80,11,78,93,116,162,127,131,142,193,14,-1,-445,-163,-165,-252,-250,-552,-205,-10,-267,10,-367,-70,-49,-90,-123,-421,-63,183,-253,-6,1,-1,0,-2,-1,2,-2,-2,0
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,128923,128946,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148,75,-194,-407,-572,-507,-675,-433,-309,-435,-341,283,1255,1269,1219,1147,1133,1123,1110,1126,1074,297,1259,1263,1246,1272,1407,1255,1358,1361,1355,-14,-4,6,-27,-125,-274,-132,-248,-235,-281,5,18,25,26,44,60,62,45,35,30,96,-205,-424,-565,-414,-457,-359,-100,-226,-83,101,-187,-399,-539,-370,-397,-297,-55,-191,-53,-12,-3,-14,-6,-12,-4,-4,-6,-9,-7
