NAME,POP,DATE_CODE,DATE_DESC,metropolitan statistical area/micropolitan statistical area
"Bellingham, WA Metro Area",201545,3,7/1/2010 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",251681,3,7/1/2010 population estimate,14740
"Wenatchee, WA Metro Area",111264,3,7/1/2010 population estimate,48300
"Yakima, WA Metro Area",244256,3,7/1/2010 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",116944,3,7/1/2010 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",253001,3,7/1/2010 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232181,3,7/1/2010 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3449241,3,7/1/2010 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",515553,3,7/1/2010 population estimate,44060
"Kennewick-Richland, WA Metro Area",255542,3,7/1/2010 population estimate,28420
"Lewiston, ID-WA Metro Area",61040,3,7/1/2010 population estimate,30300
"Longview, WA Metro Area",102358,3,7/1/2010 population estimate,31020
"Bellingham, WA Metro Area",203490,4,7/1/2011 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",254297,4,7/1/2011 population estimate,14740
"Wenatchee, WA Metro Area",111876,4,7/1/2011 population estimate,48300
"Yakima, WA Metro Area",245926,4,7/1/2011 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",117578,4,7/1/2011 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",256386,4,7/1/2011 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2262834,4,7/1/2011 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3503891,4,7/1/2011 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",516889,4,7/1/2011 population estimate,44060
"Kennewick-Richland, WA Metro Area",263487,4,7/1/2011 population estimate,28420
"Lewiston, ID-WA Metro Area",61409,4,7/1/2011 population estimate,30300
"Longview, WA Metro Area",102309,4,7/1/2011 population estimate,31020
"Bellingham, WA Metro Area",204863,5,7/1/2012 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",254339,5,7/1/2012 population estimate,14740
"Wenatchee, WA Metro Area",112669,5,7/1/2012 population estimate,48300
"Yakima, WA Metro Area",246127,5,7/1/2012 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",117714,5,7/1/2012 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",258527,5,7/1/2012 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2288465,5,7/1/2012 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3558829,5,7/1/2012 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",518930,5,7/1/2012 population estimate,44060
"Kennewick-Richland, WA Metro Area",268071,5,7/1/2012 population estimate,28420
"Lewiston, ID-WA Metro Area",61413,5,7/1/2012 population estimate,30300
"Longview, WA Metro Area",101663,5,7/1/2012 population estimate,31020
"Bellingham, WA Metro Area",206073,6,7/1/2013 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",252401,6,7/1/2013 population estimate,14740
"Wenatchee, WA Metro Area",113110,6,7/1/2013 population estimate,48300
"Yakima, WA Metro Area",246485,6,7/1/2013 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",118255,6,7/1/2013 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",261852,6,7/1/2013 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2311015,6,7/1/2013 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3612347,6,7/1/2013 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",521603,6,7/1/2013 population estimate,44060
"Kennewick-Richland, WA Metro Area",270766,6,7/1/2013 population estimate,28420
"Lewiston, ID-WA Metro Area",61927,6,7/1/2013 population estimate,30300
